rating;numSlides;numShapes;numImgs;isEdited;hasExplanation;hasVideo;hasWordcloud;hasMPC;hasContent;avgX;avgY;avgWidth;avgHeight;presentationStyleId;backgroundOpacity;initialPromptTokens;initialPrompt;CHAR_LENGTH(PA.response);language;length;toneOfVoice;imgURLs;subject
1;13;52;13;1;0;0;1;1;1;641,9;336,8;1022,1;436;21;1;54;Autogestionate en la creación de tu automatización RPA;360;Spanish;Detailed;Persuasive;https://cdn.sendsteps.com/ai/full-width/ai1.jpg||https://cdn.sendsteps.com/ai/full-width/ai10.jpg||https://cdn.sendsteps.com/ai/full-width/ai11.jpg||https://cdn.sendsteps.com/ai/full-width/ai12.jpg||https://cdn.sendsteps.com/ai/full-width/ai13.jpg||https://cdn.sendsteps.com/ai/full-width/ai14.jpg||https://cdn.sendsteps.com/ai/full-width/ai15.jpg||https://cdn.sendsteps.com/ai/full-width/ai16.jpg||https://cdn.sendsteps.com/ai/full-width/ai17.jpg||https://cdn.sendsteps.com/ai/full-width/ai18.jpg||https://cdn.sendsteps.com/ai/full-width/ai2.jpg||https://cdn.sendsteps.com/ai/full-width/ai3.jpg||https://cdn.sendsteps.com/ai/full-width/ai7.jpg;¡Descubre tu potencial ilimitado con la creación de automatización RPA!
1;11;44;11;1;1;0;0;0;1;596,8;342;1069,9;432,4;21;0.4;2958;"Create a brief “High School Start Time Slide Deck” (ten slides) that showcases your critical thinking and visual communication skills using the Google Slides template under Classwork in Google Classroom. The task asks you to take a position on school start times for high school. In other words, the research question is: Should high schools start later to accommodate the biological rhythms of teenagers? Gather relevant evidence from the two scholarly sources provided; cite evidence from one additional credible source that informed your thinking on the issue; develop an informed and well reasoned argument for that position; and finally, introduce and refute a counterargument. Check the “speaker notes” section of the Google Slides template for instructions on how to design your slides.      here are the speaker notes: Add the TITLE of your presentation and your full name and last four digits of your OSIS number.   Tips on the Task:   Design succinct and clear slides and that provide evidence for the argument that you are making: strategically selected titles, labels, and key points, well-chosen and relevant images, charts, etc.  Avoid creating slides that merely contain a title and bullet points or that are too busy and overwhelming In the speaker notes section of each slide, you may include additional comments or explanations you would include if you were delivering this presentation live to an educated but non-expert audience.  next slide: CONTEXTUALIZE the problem: What does your audience need to know to understand the issue? next slide: State your RESEARCH QUESTION (RQ), which can be found in Step 4 of the course application. next slide: What is your POSITION on the issue (i.e., the argument you will make and support)? next slide: Present the FIRST SUPPORTING CLAIM of your argument plus evidence to back it up. next slide: Present the SECOND SUPPORTING CLAIM of your argument plus evidence to back it up. next slide: Present the THIRD SUPPORTING CLAIM of your argument plus evidence to back it up. next slide: Briefly pose a COUNTERARGUMENT, relevant evidence to support it, and how you would refute it: What would those who take an alternate position from your own say and why? Why do you still hold to your position? next slide: CONCLUSION: What final thoughts do you want to leave your audience with? next slids:  WORKS CITED in MLA style: Use Purdue University Online Writing Lab (OWL) website to create your works cited page entries. This slide should include the two scholarly sources we provided and the one credible source you found on your own.   https://owl.purdue.edu/owl/research_and_citation/mla_style/mla_formatting_and_style_guide/mla_formatting_and_style_guide.html.  1st article provided: chool Start Times and the Sleep-Wake Cycle of Adolescents: A Review and Critical Evaluation of Available Evidence Author(s): Matthew Kirby, second article: Sleep Optimization in the Young Athlete Casey M. Imbergamo, MD1;";360;English;Informative;Persuasive;https://cdn.sendsteps.com/ai/full-width/ai1.jpg||https://cdn.sendsteps.com/ai/full-width/ai10.jpg||https://cdn.sendsteps.com/ai/full-width/ai11.jpg||https://cdn.sendsteps.com/ai/full-width/ai12.jpg||https://cdn.sendsteps.com/ai/full-width/ai13.jpg||https://cdn.sendsteps.com/ai/full-width/ai16.jpg||https://cdn.sendsteps.com/ai/full-width/ai19.jpg||https://cdn.sendsteps.com/ai/full-width/ai2.jpg||https://cdn.sendsteps.com/ai/full-width/ai20.jpg||https://cdn.sendsteps.com/ai/full-width/ai6.jpg||https://cdn.sendsteps.com/ai/full-width/ai9.jpg;Navigating the Biological Clock: Why High School Start Times Matter
5;13;52;13;1;0;0;1;1;1;614,3;348,4;1068,2;425,3;21;0.4;2626;"Copilot ¡Por supuesto! Aquí tienes un esquema detallado para una presentación en PowerPoint sobre la historia de la automatización, con sugerencias para imágenes y contenido en cada diapositiva. Recuerda que las imágenes deben ser de alta calidad y relevantes para el contenido de cada diapositiva. Diapositiva 1: Portada ●	Título: ""La Historia de la Automatización"" ●	Subtítulo: ""Desde los Orígenes hasta la Era Digital"" ●	Imagen de Fondo: Una línea del tiempo con hitos de la automatización. Diapositiva 2: Introducción ●	Definición de automatización. ●	Importancia de la automatización en la historia humana. ●	Imagen: Representación de sistemas de riego antiguos. Diapositiva 3: Orígenes de la Automatización ●	Los sistemas de riego en el antiguo Egipto. ●	La invención de la rueda y su impacto en la automatización. ●	Imagen: Ilustraciones de mecanismos antiguos. Diapositiva 4: Revolución Industrial ●	La máquina de vapor de James Watt y su influencia en la producción. ●	El telar mecánico de Edmund Cartwright. ●	Imagen: Grabados de la época mostrando las primeras fábricas. Diapositiva 5: Siglo XX y la Expansión de la Automatización ●	La automatización en la industria automotriz y electrónica. ●	El desarrollo de la computación y la robótica. ●	Imagen: Fotografías de las primeras líneas de ensamblaje automatizadas. Diapositiva 6: Automatización en la Era Digital ●	La integración de la inteligencia artificial y el aprendizaje automático. ●	La automatización en el marketing digital, la logística y la atención al cliente. ●	Imagen: Representaciones de sistemas inteligentes y robots modernos. Diapositiva 7: El Futuro de la Automatización ●	Predicciones y tendencias emergentes. ●	El impacto potencial en la sociedad y el empleo. ●	Imagen: Conceptos futuristas de la automatización. Diapositiva 8: Conclusión ●	Resumen de cómo la automatización ha evolucionado y sus beneficios. ●	La innovación continua en el campo. ●	Imagen: Gráfico mostrando el crecimiento de la automatización a lo largo del tiempo. Diapositiva 9: Referencias ●	Lista de fuentes de información e imágenes utilizadas en la presentación. Para obtener más detalles e información histórica, puedes consultar fuentes como LaHistoria.info1 y otros recursos en línea2. ¡Espero que esta estructura te ayude a crear una presentación impactante y educativa! Fuentes 1. Historia de la Automatización - LaHistoria 2. El origen y evolución de la automatización: historia y desarrollo. 3. Automatización - Wikipedia, la enciclopedia libre 4. Evolución de la automatización industrial | Manufactura Latam 5. Automatización - Wikipedia, la enciclopedia libre";360;Spanish;Detailed;Casual;https://cdn.sendsteps.com/ai/full-width/ai1.jpg||https://cdn.sendsteps.com/ai/full-width/ai10.jpg||https://cdn.sendsteps.com/ai/full-width/ai11.jpg||https://cdn.sendsteps.com/ai/full-width/ai12.jpg||https://cdn.sendsteps.com/ai/full-width/ai13.jpg||https://cdn.sendsteps.com/ai/full-width/ai16.jpg||https://cdn.sendsteps.com/ai/full-width/ai17.jpg||https://cdn.sendsteps.com/ai/full-width/ai18.jpg||https://cdn.sendsteps.com/ai/full-width/ai2.jpg||https://cdn.sendsteps.com/ai/full-width/ai6.jpg||https://cdn.sendsteps.com/ai/full-width/ai7.jpg||https://cdn.sendsteps.com/ai/full-width/ai8.jpg||https://cdn.sendsteps.com/ai/full-width/ai9.jpg;¡Desde los Inicios hasta la Era Digital: Un Viaje por la Automatización!
4;11;44;11;1;0;0;0;0;1;575;366,8;1113,5;395,4;21;0.4;139;etude des trepans (bits) utilisés chez sama nickel pour une optimisation des performances du forage: cas des sites minier de draba et grata;360;French;Informative;Persuasive;https://cdn.sendsteps.com/ai/full-width/ai1.jpg||https://cdn.sendsteps.com/ai/full-width/ai10.jpg||https://cdn.sendsteps.com/ai/full-width/ai11.jpg||https://cdn.sendsteps.com/ai/full-width/ai12.jpg||https://cdn.sendsteps.com/ai/full-width/ai13.jpg||https://cdn.sendsteps.com/ai/full-width/ai14.jpg||https://cdn.sendsteps.com/ai/full-width/ai15.jpg||https://cdn.sendsteps.com/ai/full-width/ai17.jpg||https://cdn.sendsteps.com/ai/full-width/ai20.jpg||https://cdn.sendsteps.com/ai/full-width/ai3.jpg||https://cdn.sendsteps.com/ai/full-width/ai4.jpg;Maximisez l'efficacité du forage avec les trepans Sama Nickel: Une étude essentielle pour les sites miniers de Draba et Grata
5;14;54;14;1;0;0;0;0;1;676,1;326,6;963,1;392,7;21;0.4;119;Фінансова система та фінансові послуги (банки , страхування, небанківські фінансові установи, валюта, платіжні системи);360;Ukrainian;Detailed;Neutral;https://cdn.sendsteps.com/ai/full-width/ai1.jpg||https://cdn.sendsteps.com/ai/full-width/ai10.jpg||https://cdn.sendsteps.com/ai/full-width/ai11.jpg||https://cdn.sendsteps.com/ai/full-width/ai12.jpg||https://cdn.sendsteps.com/ai/full-width/ai13.jpg||https://cdn.sendsteps.com/ai/full-width/ai15.jpg||https://cdn.sendsteps.com/ai/full-width/ai16.jpg||https://cdn.sendsteps.com/ai/full-width/ai17.jpg||https://cdn.sendsteps.com/ai/full-width/ai18.jpg||https://cdn.sendsteps.com/ai/full-width/ai19.jpg||https://cdn.sendsteps.com/ai/full-width/ai2.jpg||https://cdn.sendsteps.com/ai/full-width/ai5.jpg||https://cdn.sendsteps.com/ai/full-width/ai6.jpg||https://cdn.sendsteps.com/ai/full-width/ai8.jpg;Огляд фінансової системи України
5;14;56;14;0;1;0;0;0;1;694,8;335,4;959,6;391,7;21;1;2469;"**Title Slide:**
   - Visuals: Image of ancient Tamil agricultural landscape or map of Tamil Nadu.

2. **Introduction:**
   - Content: Agriculture as a cornerstone of ancient Tamil economy, cultural significance.
   - Visuals: Historical images or artwork depicting Tamil farmers.

3. **Geography and Climate of Ancient Tamil Nadu:**
   - Content: Fertile plains, rivers (Cauvery), monsoon patterns.
   - Visuals: Map showing geographic features.

4. **Early Agricultural Practices:**
   - Content: Basic subsistence farming, initial domestication of plants.
   - Visuals: Early farming scenes.

5. **Irrigation Systems:**
   - Content: Explanation of different irrigation methods.
   - Visuals: Diagrams of wells, canals, and tanks.

6. **Tank Irrigation System (Eri System):**
   - Content: Structure and function of the Eri system.
   - Visuals: Illustration or photograph of an ancient tank.

7. **Construction and Maintenance of Tanks:**
   - Content: Engineering techniques, community labor contributions.
   - Visuals: Construction process images, maintenance activities.

8. **Innovative Farming Tools and Techniques:**
   - Content: Description and use of tools like plows, sickles.
   - Visuals: Images of ancient farming tools.

9. **Agricultural Festivals and Rituals:**
   - Content: Description of Pongal and other festivals, their rituals.
   - Visuals: Festival celebrations, rituals.

10. **Role of Literature and Sangam Texts:**
    - Content: Excerpts from Sangam literature, descriptions of agricultural life.
    - Visuals: Manuscripts, relevant excerpts.

11. **Land Management and Crop Rotation:**
    - Content: Techniques to manage land efficiently, crop rotation benefits.
    - Visuals: Diagrams of crop rotation practices.

12. **Trade and Agricultural Surplus:**
    - Content: Surplus production leading to trade, major trade goods.
    - Visuals: Trade routes, artifacts.

13. **Challenges and Solutions in Ancient Agriculture:**
    - Content: Problems like drought, pests, and ancient solutions.
    - Visuals: Illustrations of challenges and techniques to overcome them.

14. **Legacy and Influence on Modern Agriculture:**
    - Content: Comparison of ancient and modern practices, enduring techniques.
    - Visuals: Modern farming influenced by ancient practices.

15. **Conclusion:**
    - Content: Recap of main points, significance of ancient Tamil agricultural innovations.
    - Visuals: Collage of images from previous slides.";360;English;Detailed;Neutral;https://cdn.sendsteps.com/ai/full-width/ai1.jpg||https://cdn.sendsteps.com/ai/full-width/ai10.jpg||https://cdn.sendsteps.com/ai/full-width/ai11.jpg||https://cdn.sendsteps.com/ai/full-width/ai12.jpg||https://cdn.sendsteps.com/ai/full-width/ai13.jpg||https://cdn.sendsteps.com/ai/full-width/ai14.jpg||https://cdn.sendsteps.com/ai/full-width/ai18.jpg||https://cdn.sendsteps.com/ai/full-width/ai2.jpg||https://cdn.sendsteps.com/ai/full-width/ai20.jpg||https://cdn.sendsteps.com/ai/full-width/ai3.jpg||https://cdn.sendsteps.com/ai/full-width/ai5.jpg||https://cdn.sendsteps.com/ai/full-width/ai6.jpg||https://cdn.sendsteps.com/ai/full-width/ai8.jpg||https://cdn.sendsteps.com/ai/full-width/ai9.jpg;The Evolution of Early Agricultural Practices in Tamil Nadu
5;14;56;14;1;1;0;0;0;1;624,5;347,1;1033,3;454,3;17;1;3000;"FÓRMULAS ALTERNATIVAS PARA GALLINAS EN POSTURA
* Necesidades Nutricionales: Las gallinas en postura requieren una dieta equilibrada con altos niveles de proteína, calcio, fósforo y vitaminas para producir huevos de calidad.
 * Ingredientes de Calidad: Utiliza ingredientes frescos y de buena calidad. Evita alimentos rancios o contaminados.
 * Variedad: Ofrecer una variedad de alimentos ayuda a asegurar que las gallinas obtengan todos los nutrientes necesarios.
 * Consulta a un Especialista: Antes de implementar una nueva fórmula, consulta con un veterinario o nutricionista avícola para asegurarte de que cumple con todos los requisitos nutricionales.
Ejemplos de Fórmulas Caseras:
Opción 1: Grano molido con suplementos
 * Base: Maíz molido, trigo molido, avena molida.
 * Proteína: Harina de soya, harina de pescado.
 * Calcio: Conchas de ostras trituradas, carbonato de calcio.
 * Vitaminas y minerales: Suplemento vitamínico-mineral específico para aves.
Opción 2: Mezcla de granos enteros y verdes
 * Granos: Maíz, trigo, avena, cebada.
 * Verdes: Hojas de col, espinacas, diente de león, ortigas.
 * Suplementos: Conchas de ostras, aceite de maíz, levadura de cerveza.
Opción 3: Alimento comercial como base
 * Base: Alimento comercial para gallinas ponedoras.
 * Complementos: Residuos de cocina cocidos (sin sal ni condimentos fuertes), verduras de hoja verde.
Consejos Adicionales:
 * Agua fresca: Siempre debe haber agua limpia y fresca disponible.
 * Grit: Proporciona grit para ayudar a la digestión.
 * Verduras y frutas: Ofrece una variedad de verduras y frutas como complemento.
 * Observación: Monitorea la salud y producción de huevos de tus gallinas. Si notas alguna disminución, ajusta la fórmula.
Recuerda: La formulación casera requiere un mayor cuidado y conocimiento. Si no estás seguro de cómo formular una dieta balanceada, es mejor consultar con un especialista.
* Edad de las gallinas
 * Raza
 * Producción de huevos actual
 * Ingredientes disponibles en tu zona

3.Materias primas:
   - Alimento de inicio:
     - 3 kg de trigo procesado.
     - 3 kg de avena procesada.
     - 3 kg de guisantes partidos o procesados.
     - 200 g de semillas de girasol.
     - 200 g de harina de pescado para gallinas.
     - 1 o 2 cucharadas de levadura de cerveza⁷.
   - Balanceado casero a base de hoja de yuca:
     - 2 kg de hoja de yuca deshidratada.
     - 6 kg de maíz.
     - 7 kg de guandú.
     - 113 g de cáscara de huevo deshidratada y desmenuzada.
     - 2 cucharadas de azúcar.
     - 42 g de sal común o mineralizada⁷.
   - Pienso para aves de postura a base de cebada:
     - 4 kg de cebada para gallinas.
     - 2 kg de mijo sin cáscara.
     - 2 kg de trigo.
     - 1 kg de avena.
     - 2 kg de guisantes partidos⁷.
   - Pienso a base de frijol:
     - 10 kg de maíz molido.
     - 10 kg de sorgo.
     - 4 kg de harina de pescado.
     - 10 kg de leche en polvo.
     - 500 g de premezcla de vitaminas y minerales.
     - 500 g de carbonato de calcio³.
4. Cant";373;Spanish;Detailed;neutral;https://cdn.sendsteps.com/ai/full-width/ai1.jpg||https://cdn.sendsteps.com/ai/full-width/ai10.jpg||https://cdn.sendsteps.com/ai/full-width/ai11.jpg||https://cdn.sendsteps.com/ai/full-width/ai12.jpg||https://cdn.sendsteps.com/ai/full-width/ai14.jpg||https://cdn.sendsteps.com/ai/full-width/ai15.jpg||https://cdn.sendsteps.com/ai/full-width/ai18.jpg||https://cdn.sendsteps.com/ai/full-width/ai19.jpg||https://cdn.sendsteps.com/ai/full-width/ai2.jpg||https://cdn.sendsteps.com/ai/full-width/ai20.jpg||https://cdn.sendsteps.com/ai/full-width/ai5.jpg||https://cdn.sendsteps.com/ai/full-width/ai7.jpg||https://cdn.sendsteps.com/ai/full-width/ai8.jpg||https://cdn.sendsteps.com/ai/full-width/ai9.jpg;Optimizando la Nutrición de Gallinas en Postura: Fórmulas Alternativas y Consejos Prácticos
5;11;44;11;1;0;0;0;0;1;596,8;346,6;1059;435,2;21;1;316;Hazlo en 4 diapositivas, la primera sera que ayude en la concientizacion de personas con discapacidad, la segunda qué favorezca la inclusión, la tercera qué concientice la vida saludable (deporte, el platón del buen comer) y la ultima qué promueva la comunicación, con la fidelidad de erradicar expresiones violentas;373;Spanish;Informative;intellectual;https://cdn.sendsteps.com/ai/full-width/ai1.jpg||https://cdn.sendsteps.com/ai/full-width/ai10.jpg||https://cdn.sendsteps.com/ai/full-width/ai11.jpg||https://cdn.sendsteps.com/ai/full-width/ai12.jpg||https://cdn.sendsteps.com/ai/full-width/ai14.jpg||https://cdn.sendsteps.com/ai/full-width/ai16.jpg||https://cdn.sendsteps.com/ai/full-width/ai17.jpg||https://cdn.sendsteps.com/ai/full-width/ai19.jpg||https://cdn.sendsteps.com/ai/full-width/ai4.jpg||https://cdn.sendsteps.com/ai/full-width/ai5.jpg||https://cdn.sendsteps.com/ai/full-width/ai8.jpg;Inclusión, Salud y Comunicación: Pilares para una sociedad más justa y equitativa
3;13;52;13;1;0;0;1;1;1;641,9;330,7;1022,1;430,7;21;0.4;3000;History of Agriculture: A Timeline Agriculture, also known as farming, is the production of food, fiber, animal feed and other goods by harvesting plants and animals. Agriculture is now practiced throughout the world and is an essential part of human civilization and its history dates back thousands of years. Here's a timeline of the history of agriculture:  Invention of Agriculture (10,000 BCE) Agriculture was invented during the Neolithic era, also known as the New Stone Age. The birthplace of agriculture is believed to be the Fertile Crescent, a region stretching from the eastern Mediterranean coast to the Persian Gulf. The eight Neolithic crops were emmer wheat, einkorn wheat, peas, lentils, bitter vetch, hulled barley, chickpeas, and flax.  Irrigation and Canal Networks (4000-3000 BCE) Irrigation systems were developed in Egypt and Mesopotamia to help regulate the flow of rivers and ensure the availability of water for crops. One of the most impressive irrigation systems developed during this time was the qanat, an underground canal used to tap into underground streams.  Improvements in Farming Implements (3000-1000 BCE) During the Bronze Age, advanced metalworking techniques led to the development of stronger farming implements. This allowed for more efficient tilling of the soil and increased agricultural productivity. The moldboard plow and crop rotation were also introduced during this time.  British Agricultural Revolution (1700s-1800s) The British Agricultural Revolution was a period of significant agricultural productivity in Britain. New methods of crop rotation and cultivation of previously unused land were introduced, and new crops such as the turnip were grown.  Evolution of Equipment and Technology (1800s-1900s) The introduction of agricultural equipment and machinery such as tractors and mechanical harvesters helped to increase efficiency and productivity on the farm. More recently, GPS-guided tractors, drones, and sensors have been developed to monitor soil and crop health. Hybrid seeds have also been created through genetic engineering.  Sustainable Agriculture (1900s-present) Sustainable agriculture is a method of farming that promotes environmentally-friendly and socially-responsible practices. Techniques include crop rotation, cover cropping, and integrated pest management, as well as efforts to reduce the use of pesticides.  Agricultural Biotechnology (1900s-present) Agricultural biotechnology involves the use of genetic engineering to improve crop yields and enhance plant traits. Genetically modified organisms (GMOs) have been developed, but there is ongoing debate about their potential health and environmental risks.  Agricultural Policy (1900s-present) Government subsidies and regulations have been used to support agricultural development and protect labor, the environment, and animal welfare. Refrigerated transport companies are also essential for the transport of perishable goods.  The Future of Agriculture (present-f;360;English;Detailed;Casual;https://cdn.sendsteps.com/ai/full-width/ai1.jpg||https://cdn.sendsteps.com/ai/full-width/ai10.jpg||https://cdn.sendsteps.com/ai/full-width/ai11.jpg||https://cdn.sendsteps.com/ai/full-width/ai12.jpg||https://cdn.sendsteps.com/ai/full-width/ai14.jpg||https://cdn.sendsteps.com/ai/full-width/ai15.jpg||https://cdn.sendsteps.com/ai/full-width/ai17.jpg||https://cdn.sendsteps.com/ai/full-width/ai19.jpg||https://cdn.sendsteps.com/ai/full-width/ai3.jpg||https://cdn.sendsteps.com/ai/full-width/ai4.jpg||https://cdn.sendsteps.com/ai/full-width/ai5.jpg||https://cdn.sendsteps.com/ai/full-width/ai6.jpg||https://cdn.sendsteps.com/ai/full-width/ai7.jpg;History of Ariculture
2;10;40;10;1;1;0;1;1;1;559,1;337,1;1164,6;396,3;21;1;37;Muhammadiyah menjawab feminisme Islam;360;Indonesian;Informative;Neutral;https://cdn.sendsteps.com/ai/full-width/ai1.jpg||https://cdn.sendsteps.com/ai/full-width/ai10.jpg||https://cdn.sendsteps.com/ai/full-width/ai11.jpg||https://cdn.sendsteps.com/ai/full-width/ai12.jpg||https://cdn.sendsteps.com/ai/full-width/ai14.jpg||https://cdn.sendsteps.com/ai/full-width/ai17.jpg||https://cdn.sendsteps.com/ai/full-width/ai2.jpg||https://cdn.sendsteps.com/ai/full-width/ai3.jpg||https://cdn.sendsteps.com/ai/full-width/ai5.jpg||https://cdn.sendsteps.com/ai/full-width/ai8.jpg;Muhammadiyah menjawab feminisme Islam 
